MAPEO DE TRAZABILIDAD (PAR -> CAMINOS)
=====================================
Par 1,13       | Caminos: 17, 29
Par 9,8        | Caminos: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 76, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 103, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112, 112
Par 9b,16      | Caminos: 21
Par 9b,16b     | Caminos: 24
Par 9b,16c     | Caminos: 42
Par 9b,16d     | Caminos: 57
Par 9b,16e     | Caminos: 61
Par 9b,16f     | Caminos: 64
Par 9b,16g     | Caminos: 112
Par 9b,16h     | Caminos: 76
Par 9b,17      | Caminos: 87
Par 9b,18      | Caminos: 108
Par 9b,24      | Caminos: 58
Par 9b,8       | Caminos: 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Par 9c,16      | Caminos: 15
Par 9c,16b     | Caminos: 25
Par 9c,16c     | Caminos: 32
Par 9c,16d     | Caminos: 44
Par 9c,16e     | Caminos: 59
Par 9c,16f     | Caminos: 109
Par 9c,16g     | Caminos: 45
Par 9c,16h     | Caminos: 96
Par 9c,17      | Caminos: 103
Par 9c,18      | Caminos: 95
Par 9c,24      | Caminos: 37
Par 9c,8       | Caminos: 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
